[1,1:0|-1107295997,2:0|-1107295998,1]
[2,1:1|-1107295742,8:0|-1107295740,1]
[3,1:2|-1107295487,9:0|-1107295486,1]
[4,1:3|-1107295231,16:0|-1107295230,1]
[5,2:1|-1107294975,3:0|-1107294974,1]
[6,2:2|-1107294719,9:1|-1107294718,1]
[7,2:3|-1107294463,10:0|-1107294462,1]
[8,3:1|-1107294207,4:0|-1107294206,1]
[9,3:2|-1107293951,10:1|-1107293950,1]
[10,3:3|-1107293695,11:0|-1107293694,1]
[11,4:1|-1107293439,5:0|-1107293438,1]
[12,4:2|-1107293183,11:1|-1107293182,1]
[13,4:3|-1107292927,12:0|-1107292926,1]
[14,5:1|-1107292671,6:0|-1107292670,1]
[15,5:2|-1107292415,12:1|-1107292414,1]
[16,5:3|-1107292159,13:0|-1107292158,1]
[17,6:1|-1107291903,7:0|-1107291902,1]
[18,6:2|-1107291647,13:1|-1107291646,1]
[19,6:3|-1107291391,14:0|-1107291390,1]
[20,7:1|-1107291135,8:1|-1107291134,1]
[21,7:2|-1107290623,15:0|-1107290622,1]
[22,7:3|-1107262462,14:5|-1107262463,1]
[23,8:2|-1107290879,16:5|-1107290878,1]
[24,8:3|-1107262719,15:5|-1107262718,1]
[25,9:2|-1107290367,10:2|-1107290366,1]
[26,9:3|-1107290111,16:1|-1107290110,1]
[27,9:4|-1107289855,17:0|-1107289854,1]
[28,9:5|-1107289599,24:0|-1107289598,1]
[29,10:3|-1107289343,11:2|-1107289342,1]
[30,10:4|-1107289087,17:1|-1107289086,1]
[31,10:5|-1107288831,18:0|-1107288830,1]
[32,11:3|-1107288575,12:2|-1107288574,1]
[33,11:4|-1107288319,19:0|-1107288318,1]
[34,11:5|-1107288063,18:1|-1107288062,1]
[35,12:3|-1107287807,13:2|-1107287806,1]
[36,12:4|-1107287551,19:1|-1107287550,1]
[37,12:5|-1107287295,20:0|-1107287294,1]
[38,13:3|-1107287039,14:1|-1107287038,1]
[39,13:4|-1107286783,20:1|-1107286782,1]
[40,13:5|-1107286527,21:0|-1107286526,1]
[41,14:2|-1107286271,15:1|-1107286270,1]
[42,14:3|-1107286015,21:1|-1107286014,1]
[43,14:4|-1107285759,22:0|-1107285758,1]
[44,15:2|-1107285503,16:2|-1107285502,1]
[45,15:3|-1107285247,22:1|-1107285246,1]
[46,15:4|-1107284991,23:0|-1107284990,1]
[47,16:3|-1107284735,23:1|-1107284734,1]
[48,16:4|-1107284479,24:1|-1107284478,1]
[49,17:2|-1107284223,18:2|-1107284222,1]
[50,17:3|-1107283967,24:2|-1107283966,1]
[51,17:4|-1107283711,32:0|-1107283710,1]
[52,17:5|-1107283455,25:0|-1107283454,1]
[53,18:3|-1107283199,19:2|-1107283198,1]
[54,18:4|-1107282943,25:1|-1107282942,1]
[55,18:5|-1107282687,26:0|-1107282686,1]
[56,19:3|-1107282431,20:2|-1107282430,1]
[57,19:4|-1107282175,27:0|-1107282174,1]
[58,19:5|-1107281919,26:1|-1107281918,1]
[59,20:3|-1107281663,21:2|-1107281662,1]
[60,20:4|-1107281407,27:1|-1107281406,1]
[61,20:5|-1107281151,28:0|-1107281150,1]
[62,21:3|-1107280639,22:2|-1107280638,1]
[63,21:4|-1107280383,28:1|-1107280382,1]
[64,21:5|-1107280127,29:0|-1107280126,1]
[65,22:3|-1107279871,23:2|-1107279870,1]
